epoch,loss,box,obj,cls,val_map50,val_mae,val_rmse,val_macroF1
1,4.381082821428106,0.6127098430408521,0.5176458623302117,0.7998877291599017,0.00012233947505604605,282.45454545454544,282.6241481029339,0.26984126984110274
2,3.3446220414022383,0.5175346681910954,0.27514527269293754,0.48180342323324654,0.0027481741127126052,178.52272727272728,201.36483172228822,0.4504569504565037
3,2.88090632738692,0.46615292952301796,0.14995882886179376,0.400182846222031,0.05800097391026846,26.954545454545453,35.420204814355735,0.607654443890839
4,2.6208561565099138,0.4296684633480029,0.10907492418302579,0.3634389317437504,0.03568764808343027,11.409090909090908,15.317844614578242,0.7391485918612047
5,2.454996993032734,0.40232494406485825,0.08912279239196456,0.35424948810191637,0.045883716328505054,9.659090909090908,14.128469002819674,0.7836765336759922
6,2.3605173035953824,0.3902115637666724,0.07633825709645668,0.3331212590584594,0.07509516401068518,7.0227272727272725,8.88435806244988,0.7435177810642016
7,2.2616633859913002,0.3764087243026562,0.06913397879747862,0.3104857424002015,0.11333401372676773,17.795454545454547,27.842495316593762,0.7786324786319471
8,2.219984381386403,0.37073140599754417,0.06609743850284748,0.30022994654901913,0.12834065244737813,4.5227272727272725,5.6185569159866855,0.7275333914048123
9,2.0967812430992554,0.35068870729274965,0.06254375633898746,0.2807939286982076,0.12610131506092762,12.954545454545455,19.594758111662042,0.7382440492138547
10,2.0146756574009244,0.3374657235788495,0.06093518009011665,0.26641186016998936,0.1328719392448469,5.113636363636363,6.720051406729781,0.7425891704991373
11,1.9448213684424926,0.33028637257854593,0.05814996935176046,0.23523953264014105,0.12334555016086772,9.659090909090908,13.82931668593933,0.7704163848736959
12,1.972442693924636,0.33323072181658797,0.056074534616108694,0.25021454424000855,0.25001901068598803,4.9772727272727275,6.032111043106188,0.8158323158318012
13,1.8695837513784344,0.3156604559234019,0.055426013561781874,0.23585544141490808,0.1954677360620242,4.954545454545454,6.101415633053753,0.8289473684205335
14,1.7657896641934856,0.3004617868514543,0.0532526709557919,0.2102280691098631,0.19661936888743548,4.113636363636363,5.319347191663141,0.7701804368465904
15,1.7066198707966322,0.2905304371640923,0.052034109872713515,0.20193356175101204,0.26951369743817055,8.204545454545455,11.734758005793962,0.8266077558772665
16,1.7146881403547993,0.2936332209056683,0.05202975400378195,0.1944922712746631,0.26223056933267963,6.363636363636363,9.090454534090341,0.777511607562916
17,1.6389435168062703,0.28331586952959553,0.05064340429694465,0.17172077298164368,0.25541337426693017,4.931818181818182,7.32523657700493,0.8260462419361407
18,1.5997901471813074,0.2748969920565573,0.04885949374417241,0.176445669588748,0.2501682717563602,3.5,4.51260859854213,0.8208648208643128
19,1.5343540973877638,0.26864071441500376,0.04733199839679043,0.1438185346595357,0.2931301705649494,7.454545454545454,10.277955226423378,0.829219733567045
20,1.4822739657391324,0.2611799906478839,0.047044145006142304,0.12932987092586046,0.29528157862805915,6.409090909090909,8.160325305458667,0.8423155954773431
21,1.4362239154537073,0.25315409831786423,0.04752630183703444,0.12292711537205771,0.3550416588009025,4.409090909090909,6.299350615882417,0.8224898506159243
22,1.415225600928403,0.2523778568157989,0.04560957309067919,0.10772673877772321,0.3104975657540753,3.727272727272727,4.819468095887006,0.816028436952743
23,1.3748609872346513,0.24769964244928253,0.04490637674592854,0.09145639284273212,0.2997880675272255,8.022727272727273,10.775603758659482,0.7867945337210599
24,1.3348177135660406,0.24244069215956698,0.04416446293589105,0.07844980044311352,0.30786481711365776,3.477272727272727,4.590008912647318,0.8083216428984409
25,1.3753190871035115,0.24682616417327624,0.04502567761902059,0.0961625956082612,0.2836682436743472,10.386363636363637,15.015900663206077,0.7798241239472011
26,1.2739388768592577,0.23262466774897628,0.042854031610689805,0.0679614892166652,0.32523041955406723,7.113636363636363,9.689497594631192,0.8108449991561745
27,1.2322907186626049,0.2250371819801545,0.041768791216812776,0.06533600949797402,0.32348952727351565,3.840909090909091,5.323618045174643,0.8078985388347477
28,1.1979573817735307,0.22013010252057835,0.04191943241304226,0.05538744814275356,0.36290902563530486,10.704545454545455,13.435874637429723,0.8400617065128074
29,1.1980409287334828,0.2203400685880961,0.04080701062685988,0.05553359676445468,0.37512644212828095,11.318181818181818,14.774055884310417,0.8118448965392216
30,1.1412031851457747,0.21201565878444842,0.04081210992142056,0.040312785655260086,0.35073688932841435,4.840909090909091,6.773947419072843,0.8187626341999333
